 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_11_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_13_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_13_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_14_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_14_  (HS65_GS_DFPRQX4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_12_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_15_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_15_  (HS65_GS_DFPRQX4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_13_  (HS65_GS_DFPRQX4)
       8                5(5/0)                0(0/0)             0(0/0/0/0/0)       0                3(0/3)   62.50%        /frontend_0/pc_reg_14_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/pc_reg_15_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/pmem_busy_reg  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/exec_dst_wr_reg  (HS65_GS_DFPRQX4)
       8                2(2/0)                1(0/1)             0(0/0/0/0/0)       0                5(0/5)   25.00%        /frontend_0/exec_src_wr_reg  (HS65_GS_DFPRQX4)
       8                5(5/0)                0(0/0)             0(0/0/0/0/0)       0                3(0/3)   62.50%        /frontend_0/exec_dext_rdy_reg  (HS65_GS_DFPRQX4)
       8                6(6/0)                0(0/0)             0(0/0/0/0/0)       0                2(1/1)   75.00%        /frontend_0/U19  (HS65_GS_MUX21I1X6)
       8                4(4/0)                0(0/0)             0(0/0/0/0/0)       0                4(0/4)   50.00%        /frontend_0/U20  (HS65_GS_MUX21X4)
       4                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                2(0/2)   50.00%        /frontend_0/U21  (HS65_GS_IVX9)
       4                4(4/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U42  (HS65_GS_IVX9)
